Date,Close,Open,High,Low,Order matchings,% Change
03-01-12,5173,5209,5209,5137,8.53K,0.00%
04-01-12,5100,5501,5501,4918,9.17K,-1.41%
05-01-12,5027,4772,5137,4772,13.20K,-1.43%
06-01-12,4954,4954,4991,4918,15.61K,-1.45%
09-01-12,4954,4954,4954,4918,11.43K,0.00%
10-01-12,5173,4954,5173,4954,29.30K,4.42%
11-01-12,5064,5209,5209,5064,17.54K,-2.11%
12-01-12,5100,5027,5100,5027,2.09K,0.71%
13-01-12,5173,5027,5209,5027,7.40K,1.43%
16-01-12,5501,5319,5501,5319,24.79K,6.34%
17-01-12,5392,5501,5501,5282,5.15K,-1.98%
18-01-12,5464,5647,5647,5428,16.26K,1.34%
19-01-12,5719,5719,5829,5719,22.37K,4.67%
20-01-12,5647,5792,5792,5647,29.62K,-1.26%
30-01-12,5647,5574,5647,5464,14.16K,0.00%
31-01-12,5610,5865,5902,5610,52.15K,-0.66%
01-02-12,5756,5829,5829,5610,9.66K,2.60%
02-02-12,5902,5719,5938,5647,33.96K,2.54%
03-02-12,5719,5829,6011,5719,40.56K,-3.10%
06-02-12,5719,5829,5829,5647,6.28K,0.00%
07-02-12,5756,5756,5792,5647,17.38K,0.65%
08-02-12,5792,5829,5865,5792,14.97K,0.63%
09-02-12,5719,5829,5829,5683,16.10K,-1.26%
10-02-12,5537,5574,5610,5537,10.62K,-3.18%
13-02-12,5464,5464,5537,5464,28.01K,-1.32%
14-02-12,5683,5464,5792,5464,5.15K,4.01%
15-02-12,5683,5683,5683,5683,0.32K,0.00%
16-02-12,5683,5574,5683,5574,1.29K,0.00%
17-02-12,5756,5719,5756,5647,4.19K,1.28%
20-02-12,5829,5756,5902,5756,51.35K,1.27%
21-02-12,5756,5829,5829,5756,51.35K,-1.25%
22-02-12,6047,5647,6084,5647,27.36K,5.06%
23-02-12,5938,6084,6084,5829,200.08K,-1.80%
24-02-12,6120,6084,6229,5902,261.89K,3.07%
27-02-12,6120,6047,6193,5902,138.75K,0.00%
28-02-12,5938,6157,6302,5902,153.08K,-2.97%
29-02-12,6011,5865,6011,5829,147.93K,1.23%
01-03-12,5829,5902,5938,5792,204.42K,-3.03%
02-03-12,6011,5902,6011,5829,173.84K,3.12%
05-03-12,6339,6266,6339,6266,176.74K,5.46%
06-03-12,6120,6594,6667,6047,234.20K,-3.45%
07-03-12,6084,6120,6120,5902,96.90K,-0.59%
08-03-12,5829,5974,6047,5792,108.49K,-4.19%
09-03-12,5792,5829,5829,5719,41.69K,-0.63%
12-03-12,5719,5719,5756,5647,38.63K,-1.26%
13-03-12,5792,5683,5865,5683,94.16K,1.28%
14-03-12,5719,5756,5792,5647,39.44K,-1.26%
15-03-12,5829,5683,5865,5610,147.28K,1.92%
16-03-12,5792,6011,6011,5756,147.28K,-0.63%
19-03-12,5756,5829,5902,5719,149.70K,-0.62%
20-03-12,6193,5792,6193,5792,471.62K,7.59%
21-03-12,6375,6339,6448,6339,449.41K,2.94%
22-03-12,6885,6412,6885,6412,619.06K,8.00%
23-03-12,7249,6958,7249,6885,795.48K,5.29%
26-03-12,6739,7322,7322,6739,330.14K,-7.04%
27-03-12,6448,6448,6885,6448,538.74K,-4.32%
28-03-12,6885,6557,6885,6193,114.12K,6.78%
29-03-12,6302,6739,6812,6302,228.25K,-8.47%
30-03-12,6157,6302,6521,6157,167.40K,-2.30%
03-04-12,6521,6193,6521,6193,199.43K,5.91%
04-04-12,6193,6484,6484,6193,211.99K,-5.03%
05-04-12,6412,6229,6484,6193,154.69K,3.54%
06-04-12,6412,6448,6557,6302,116.22K,0.00%
09-04-12,6667,6484,6739,6412,125.55K,3.98%
10-04-12,6448,6667,6776,6448,160.96K,-3.28%
11-04-12,6739,6594,6776,6521,157.10K,4.51%
12-04-12,6557,6667,6812,6557,273.64K,-2.70%
13-04-12,6484,6594,6594,6412,144.87K,-1.11%
